datadate,농산물 부류명,등급코드,등급명,조사단위(kg),시도별 구분,지역명,시장코드,시장명,가격(원)
20180520,채소류,4.0,상품,1포기,1101.0,서울,110212.0,경동,4830.0
20180520,채소류,4.0,상품,1포기,1101.0,서울,110213.0,복조리,4660.0
20180520,채소류,4.0,상품,1포기,1101.0,서울,110401.0,E-유통,2990.0
20180520,채소류,4.0,상품,1포기,1101.0,서울,110402.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,1101.0,서울,110403.0,C-유통,3580.0
20180520,채소류,4.0,상품,1포기,1101.0,서울,110406.0,B-유통,4470.0
20180520,채소류,4.0,상품,1포기,1101.0,서울,110408.0,F-유통,2990.0
20180520,채소류,4.0,상품,1포기,2100.0,부산,210022.0,부전,4000.0
20180520,채소류,4.0,상품,1포기,2200.0,대구,220024.0,칠성,5000.0
20180520,채소류,4.0,상품,1포기,2200.0,대구,220401.0,C-유통,3580.0
20180520,채소류,4.0,상품,1포기,2200.0,대구,220403.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,2300.0,인천,230036.0,현대,4000.0
20180520,채소류,4.0,상품,1포기,2300.0,인천,230401.0,E-유통,2990.0
20180520,채소류,4.0,상품,1포기,2401.0,광주,240121.0,양동,4000.0
20180520,채소류,4.0,상품,1포기,2401.0,광주,240401.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,2401.0,광주,240403.0,C-유통,3580.0
20180520,채소류,4.0,상품,1포기,2501.0,대전,250112.0,역전,4000.0
20180520,채소류,4.0,상품,1포기,2501.0,대전,250402.0,E-유통,2990.0
20180520,채소류,4.0,상품,1포기,2601.0,울산,260001.0,신정,5000.0
20180520,채소류,4.0,상품,1포기,2601.0,울산,260401.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,3111.0,수원,310001.0,지동,4000.0
20180520,채소류,4.0,상품,1포기,3111.0,수원,310402.0,B-유통,4270.0
20180520,채소류,4.0,상품,1포기,3113.0,의정부,312401.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,3211.0,춘천,320001.0,중앙,5000.0
20180520,채소류,4.0,상품,1포기,3211.0,춘천,320401.0,E-유통,2990.0
20180520,채소류,4.0,상품,1포기,3214.0,강릉,321401.0,중앙,5330.0
20180520,채소류,4.0,상품,1포기,3214.0,강릉,321411.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,3311.0,청주,330001.0,육거리,4830.0
20180520,채소류,4.0,상품,1포기,3311.0,청주,330401.0,B-유통,3780.0
20180520,채소류,4.0,상품,1포기,3511.0,전주,350001.0,남부,3830.0
20180520,채소류,4.0,상품,1포기,3511.0,전주,350401.0,C-유통,3580.0
20180520,채소류,4.0,상품,1포기,3613.0,순천,360401.0,A-유통,3990.0
20180520,채소류,4.0,상품,1포기,3613.0,순천,360402.0,역전,4000.0
20180520,채소류,4.0,상품,1포기,3711.0,포항,370001.0,죽도,4000.0
20180520,채소류,4.0,상품,1포기,3711.0,포항,370401.0,E-유통,2990.0
20180520,채소류,4.0,상품,1포기,3714.0,안동,372401.0,C-유통,3580.0
20180520,채소류,4.0,상품,1포기,3814.0,창원,380001.0,상남,4500.0
20180520,채소류,4.0,상품,1포기,3814.0,창원,380402.0,C-유통,3580.0
20180520,채소류,5.0,중품,1포기,1101.0,서울,110212.0,경동,4160.0
20180520,채소류,5.0,중품,1포기,2100.0,부산,210022.0,부전,3000.0
20180520,채소류,5.0,중품,1포기,2100.0,부산,210402.0,D-유통,4990.0
20180520,채소류,5.0,중품,1포기,2200.0,대구,220024.0,칠성,4000.0
20180520,채소류,5.0,중품,1포기,2300.0,인천,230036.0,현대,3500.0
20180520,채소류,5.0,중품,1포기,2401.0,광주,240121.0,양동,3700.0
20180520,채소류,5.0,중품,1포기,2501.0,대전,250112.0,역전,3000.0
