datadate,농산물 부류명,등급코드,등급명,조사단위(kg),시도별 구분,지역명,시장코드,시장명,가격(원)
20171008,과일류,4.0,상품,10kg,1101.0,서울,110211.0,가락도매,42600.0
20171008,과일류,4.0,상품,10kg,2100.0,부산,210042.0,엄궁도매,43000.0
20171008,과일류,4.0,상품,10kg,2200.0,대구,220021.0,북부도매,42000.0
20171008,과일류,4.0,상품,10kg,2401.0,광주,240123.0,서부도매,42300.0
20171008,과일류,4.0,상품,10kg,2501.0,대전,250113.0,오정도매,43300.0
20171008,과일류,5.0,중품,10kg,1101.0,서울,110211.0,가락도매,37600.0
20171008,과일류,5.0,중품,10kg,2100.0,부산,210042.0,엄궁도매,38000.0
20171008,과일류,5.0,중품,10kg,2200.0,대구,220021.0,북부도매,35000.0
20171008,과일류,5.0,중품,10kg,2401.0,광주,240123.0,서부도매,37300.0
20171008,과일류,5.0,중품,10kg,2501.0,대전,250113.0,오정도매,38300.0
20171009,,,,,,,,,
20171010,,,,,,,,,
20171011,,,,,,,,,
20171012,과일류,4.0,상품,10kg,1101.0,서울,110211.0,가락도매,42600.0
20171012,과일류,4.0,상품,10kg,2100.0,부산,210042.0,엄궁도매,43000.0
20171012,과일류,4.0,상품,10kg,2200.0,대구,220021.0,북부도매,42000.0
20171012,과일류,4.0,상품,10kg,2401.0,광주,240123.0,서부도매,42300.0
20171012,과일류,4.0,상품,10kg,2501.0,대전,250113.0,오정도매,43300.0
20171012,과일류,5.0,중품,10kg,1101.0,서울,110211.0,가락도매,37600.0
20171012,과일류,5.0,중품,10kg,2100.0,부산,210042.0,엄궁도매,38000.0
20171012,과일류,5.0,중품,10kg,2200.0,대구,220021.0,북부도매,35000.0
20171012,과일류,5.0,중품,10kg,2401.0,광주,240123.0,서부도매,37300.0
20171012,과일류,5.0,중품,10kg,2501.0,대전,250113.0,오정도매,38300.0
20171013,과일류,4.0,상품,10kg,1101.0,서울,110211.0,가락도매,42600.0
20171013,과일류,4.0,상품,10kg,2100.0,부산,210042.0,엄궁도매,43000.0
20171013,과일류,4.0,상품,10kg,2200.0,대구,220021.0,북부도매,42000.0
20171013,과일류,4.0,상품,10kg,2401.0,광주,240123.0,서부도매,42300.0
20171013,과일류,4.0,상품,10kg,2501.0,대전,250113.0,오정도매,43300.0
20171013,과일류,5.0,중품,10kg,1101.0,서울,110211.0,가락도매,37600.0
20171013,과일류,5.0,중품,10kg,2100.0,부산,210042.0,엄궁도매,38000.0
20171013,과일류,5.0,중품,10kg,2200.0,대구,220021.0,북부도매,35000.0
20171013,과일류,5.0,중품,10kg,2401.0,광주,240123.0,서부도매,37300.0
20171013,과일류,5.0,중품,10kg,2501.0,대전,250113.0,오정도매,38300.0
20171014,과일류,4.0,상품,10kg,1101.0,서울,110211.0,가락도매,42600.0
20171014,과일류,4.0,상품,10kg,2100.0,부산,210042.0,엄궁도매,43000.0
20171014,과일류,4.0,상품,10kg,2200.0,대구,220021.0,북부도매,42000.0
20171014,과일류,4.0,상품,10kg,2401.0,광주,240123.0,서부도매,42300.0
20171014,과일류,4.0,상품,10kg,2501.0,대전,250113.0,오정도매,43300.0
20171014,과일류,5.0,중품,10kg,1101.0,서울,110211.0,가락도매,37600.0
20171014,과일류,5.0,중품,10kg,2100.0,부산,210042.0,엄궁도매,38000.0
20171014,과일류,5.0,중품,10kg,2200.0,대구,220021.0,북부도매,35000.0
20171014,과일류,5.0,중품,10kg,2401.0,광주,240123.0,서부도매,37300.0
20171014,과일류,5.0,중품,10kg,2501.0,대전,250113.0,오정도매,38300.0
20171015,과일류,4.0,상품,10kg,1101.0,서울,110211.0,가락도매,42600.0
20171015,과일류,4.0,상품,10kg,2100.0,부산,210042.0,엄궁도매,43000.0
20171015,과일류,4.0,상품,10kg,2200.0,대구,220021.0,북부도매,42000.0
20171015,과일류,4.0,상품,10kg,2401.0,광주,240123.0,서부도매,42300.0
20171015,과일류,4.0,상품,10kg,2501.0,대전,250113.0,오정도매,43300.0
20171015,과일류,5.0,중품,10kg,1101.0,서울,110211.0,가락도매,37600.0
20171015,과일류,5.0,중품,10kg,2100.0,부산,210042.0,엄궁도매,38000.0
20171015,과일류,5.0,중품,10kg,2200.0,대구,220021.0,북부도매,35000.0
20171015,과일류,5.0,중품,10kg,2401.0,광주,240123.0,서부도매,37300.0
20171015,과일류,5.0,중품,10kg,2501.0,대전,250113.0,오정도매,38300.0
20171016,,,,,,,,,
20171017,,,,,,,,,
